================================================================================
TEAM VALIDATION LOG
================================================================================
Timestamp: 2025-11-08 07:18:46
CSV File:   C:/Users/User/OneDrive/Documents/GitHub/learning_python/FCS1_Team2_Joshua.csv
Team Size:  10
Strictness: NIGHTMARE
Score:      100.0% | Grade: A+ (Excellent)
Issues:     261 (🚨0/⚠️0/ℹ️261)
================================================================================

[SUMMARY REPORT]
--------------------------------------------------------------------------------
======================================================================
TEAM ALLOCATION VALIDATION SUMMARY (NIGHTMARE MODE)
======================================================================

✓ Strictness Level: NIGHTMARE
✓ Total Issues Found: 261

Total Students: 6000
Total Teams:    600
Expected Size:  10

TEAM SIZE DISTRIBUTION:
----------------------------------------------------------------------
✓ Size 10:  600 teams (100.0%)

======================================================================
BALANCE SUMMARY
======================================================================

GENDER BALANCE:
  ✓ Balanced:    600 teams (100.0%)
  ✗ Imbalanced:    0 teams (  0.0%)

SCHOOL DIVERSITY:
  ✓ Balanced:    600 teams (100.0%)
  ✗ Imbalanced:    0 teams (  0.0%)

CGPA STATISTICS:
  Average team mean: 4.089
  Average team std:  0.108
  Range: 3.985 to 4.196

======================================================================
OVERALL QUALITY SCORE
======================================================================

Gender Balance:     100.0%
School Diversity:   100.0%
CGPA Distribution:  100.0%
----------------------------------------------------------------------
FINAL SCORE:        100.0%
GRADE:              A+ (Excellent)


[CRITICAL ISSUES REPORT]
--------------------------------------------------------------------------------
======================================================================
ALL ISSUES FOUND (261 total)
======================================================================

ℹ️ INFO ISSUES (261):
----------------------------------------------------------------------
  1. [CGPA Distribution] Potential outlier: ASE (CGPA 4.52) in Tutorial G-1, Team 1 (mean=4.12, std=0.17)
  2. [CGPA Distribution] Potential outlier: SSS (CGPA 4.48) in Tutorial G-1, Team 2 (mean=4.10, std=0.15)
  3. [CGPA Distribution] Potential outlier: EEE (CGPA 3.88) in Tutorial G-1, Team 5 (mean=4.08, std=0.09)
  4. [CGPA Distribution] Potential outlier: SoH (CGPA 4.52) in Tutorial G-10, Team 6 (mean=4.11, std=0.16)
  5. [CGPA Distribution] Potential outlier: ASE (CGPA 3.88) in Tutorial G-10, Team 9 (mean=4.11, std=0.10)
  6. [CGPA Distribution] Potential outlier: SoH (CGPA 4.52) in Tutorial G-10, Team 10 (mean=4.15, std=0.14)
  7. [CGPA Distribution] Potential outlier: CEE (CGPA 4.52) in Tutorial G-100, Team 11 (mean=4.15, std=0.15)
  8. [CGPA Distribution] Potential outlier: CCDS (CGPA 3.90) in Tutorial G-100, Team 14 (mean=4.07, std=0.07)
  9. [CGPA Distribution] Potential outlier: SoH (CGPA 4.48) in Tutorial G-101, Team 16 (mean=4.11, std=0.15)
 10. [CGPA Distribution] Potential outlier: MAE (CGPA 4.52) in Tutorial G-101, Team 18 (mean=4.15, std=0.16)
 11. [CGPA Distribution] Potential outlier: SBS (CGPA 4.48) in Tutorial G-101, Team 20 (mean=4.11, std=0.15)
 12. [CGPA Distribution] Potential outlier: SSS (CGPA 3.95) in Tutorial G-102, Team 24 (mean=4.09, std=0.07)
 13. [CGPA Distribution] Potential outlier: CoB (NBS) (CGPA 3.91) in Tutorial G-103, Team 26 (mean=4.12, std=0.10)
 14. [CGPA Distribution] Potential outlier: CCDS (CGPA 4.52) in Tutorial G-103, Team 28 (mean=4.13, std=0.16)
 15. [CGPA Distribution] Potential outlier: ASE (CGPA 3.88) in Tutorial G-103, Team 30 (mean=4.10, std=0.10)
 16. [CGPA Distribution] Potential outlier: NIE (CGPA 3.85) in Tutorial G-104, Team 32 (mean=4.07, std=0.10)
 17. [CGPA Distribution] Potential outlier: SBS (CGPA 3.85) in Tutorial G-104, Team 35 (mean=4.03, std=0.08)
 18. [CGPA Distribution] Potential outlier: WKW SCI (CGPA 3.87) in Tutorial G-105, Team 37 (mean=4.12, std=0.11)
 19. [CGPA Distribution] Potential outlier: MAE (CGPA 3.92) in Tutorial G-105, Team 39 (mean=4.09, std=0.08)
 20. [CGPA Distribution] Potential outlier: EEE (CGPA 3.86) in Tutorial G-105, Team 40 (mean=4.06, std=0.08)
 21. [CGPA Distribution] Potential outlier: CoE (CGPA 4.52) in Tutorial G-106, Team 41 (mean=4.15, std=0.16)
 22. [CGPA Distribution] Potential outlier: CEE (CGPA 4.57) in Tutorial G-108, Team 51 (mean=4.13, std=0.16)
 23. [CGPA Distribution] Potential outlier: SPMS (CGPA 4.52) in Tutorial G-108, Team 52 (mean=4.12, std=0.16)
 24. [CGPA Distribution] Potential outlier: CEE (CGPA 3.80) in Tutorial G-108, Team 55 (mean=4.05, std=0.10)
 25. [CGPA Distribution] Potential outlier: WKW SCI (CGPA 3.90) in Tutorial G-109, Team 60 (mean=4.06, std=0.08)
 26. [CGPA Distribution] Potential outlier: SBS (CGPA 3.87) in Tutorial G-110, Team 67 (mean=4.06, std=0.09)
 27. [CGPA Distribution] Potential outlier: SSS (CGPA 4.52) in Tutorial G-111, Team 71 (mean=4.14, std=0.16)
 28. [CGPA Distribution] Potential outlier: CCEB (CGPA 3.80) in Tutorial G-111, Team 73 (mean=4.09, std=0.14)
 29. [CGPA Distribution] Potential outlier: CCDS (CGPA 3.90) in Tutorial G-111, Team 75 (mean=4.07, std=0.08)
 30. [CGPA Distribution] Potential outlier: SoH (CGPA 3.88) in Tutorial G-112, Team 76 (mean=4.11, std=0.11)
 31. [CGPA Distribution] Potential outlier: ADM (CGPA 3.90) in Tutorial G-112, Team 78 (mean=4.11, std=0.09)
 32. [CGPA Distribution] Potential outlier: ASE (CGPA 3.92) in Tutorial G-112, Team 79 (mean=4.11, std=0.09)
 33. [CGPA Distribution] Potential outlier: CCDS (CGPA 4.52) in Tutorial G-112, Team 80 (mean=4.09, std=0.17)
 34. [CGPA Distribution] Potential outlier: SPMS (CGPA 3.80) in Tutorial G-113, Team 81 (mean=4.08, std=0.12)
 35. [CGPA Distribution] Potential outlier: WKW SCI (CGPA 3.85) in Tutorial G-113, Team 84 (mean=4.06, std=0.09)
 36. [CGPA Distribution] Potential outlier: MSE (CGPA 3.88) in Tutorial G-113, Team 85 (mean=4.06, std=0.09)
 37. [CGPA Distribution] Potential outlier: CoB (NBS) (CGPA 4.52) in Tutorial G-114, Team 86 (mean=4.07, std=0.16)
 38. [CGPA Distribution] Potential outlier: CoE (CGPA 4.48) in Tutorial G-114, Team 87 (mean=4.12, std=0.14)
 39. [CGPA Distribution] Potential outlier: EEE (CGPA 3.85) in Tutorial G-114, Team 89 (mean=4.07, std=0.11)
 40. [CGPA Distribution] Potential outlier: SoH (CGPA 3.90) in Tutorial G-115, Team 91 (mean=4.12, std=0.10)
 41. [CGPA Distribution] Potential outlier: MAE (CGPA 3.87) in Tutorial G-115, Team 93 (mean=4.10, std=0.11)
 42. [CGPA Distribution] Potential outlier: SoH (CGPA 3.85) in Tutorial G-115, Team 95 (mean=4.07, std=0.10)
 43. [CGPA Distribution] Potential outlier: NIE (CGPA 3.80) in Tutorial G-116, Team 97 (mean=4.04, std=0.11)
 44. [CGPA Distribution] Potential outlier: CCEB (CGPA 4.48) in Tutorial G-116, Team 98 (mean=4.10, std=0.16)
 45. [CGPA Distribution] Potential outlier: MSE (CGPA 4.30) in Tutorial G-116, Team 99 (mean=4.06, std=0.11)
 46. [CGPA Distribution] Potential outlier: CoE (CGPA 4.52) in Tutorial G-116, Team 100 (mean=4.16, std=0.14)
 47. [CGPA Distribution] Potential outlier: CCDS (CGPA 3.80) in Tutorial G-117, Team 101 (mean=4.08, std=0.14)
 48. [CGPA Distribution] Potential outlier: SSS (CGPA 4.73) in Tutorial G-117, Team 105 (mean=4.16, std=0.20)
 49. [CGPA Distribution] Potential outlier: CoB (NBS) (CGPA 3.87) in Tutorial G-118, Team 106 (mean=4.08, std=0.10)
